50401 khotyn {'Error Prone': 103.87356444290047, 'Design': 28.618193599478772, 'Performance': 161.9582002809949, 'Security': 163.8460566032887, 'Code Style': 23.00770495664417, 'Best Practices': 161.9582002809949, 'Multithreading': 141.6711749048985, 'Documentation': 45.595316145538874} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 48, 'java.security': 0, 'java.nio': 0, 'java.lang': 61, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
113355 tbruyelle {'Error Prone': 52.784144014528614, 'Design': 20.888453856919597, 'Performance': 66.8257396050362, 'Security': 66.8257396050362, 'Code Style': 12.045552301159185, 'Best Practices': 41.67261300935918, 'Multithreading': 66.8257396050362, 'Documentation': 20.498487859042392} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 12, 'java.security': 0, 'java.nio': 0, 'java.lang': 12, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
207619 tehmou {'Error Prone': 96.17647977624627, 'Design': 44.762851447601776, 'Performance': 162.68881321460609, 'Security': 162.68881321460609, 'Code Style': 30.97699760097946, 'Best Practices': 105.45653131067147, 'Multithreading': 162.68881321460609, 'Documentation': 26.616228838965167} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 27, 'java.security': 0, 'java.nio': 0, 'java.lang': 64, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
684710 nik9000 {'Error Prone': 58.536812141566955, 'Design': 8.083587696393343, 'Performance': 155.31812740317056, 'Security': 227.63341080560966, 'Code Style': 9.987218206279987, 'Best Practices': 26.501956199700206, 'Multithreading': 193.39135952981567, 'Documentation': 20.58634401726803} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 55, 'java.security': 0, 'java.nio': 0, 'java.lang': 13, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
62194 jgilfelt {'Error Prone': 75.48677785076588, 'Design': 21.30732009075586, 'Performance': 142.93727937444106, 'Security': 142.93727937444106, 'Code Style': 8.041859084142368, 'Best Practices': 142.93727937444106, 'Multithreading': 142.93727937444106, 'Documentation': 56.93434550367709} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 66, 'java.security': 0, 'java.nio': 3, 'java.lang': 146, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 29}
9295 stephenmcd {'Error Prone': 24.317386573818936, 'Design': 14.45095428028895, 'Performance': 81.29932090879561, 'Security': 84.50378476200092, 'Code Style': 5.337409252304955, 'Best Practices': 19.889120895695704, 'Multithreading': 84.50378476200092, 'Documentation': 10.304618299741596} {'java.sql': 0, 'java.text': 0, 'java.net': 8, 'java.math': 0, 'java.rmi': 0, 'java.util': 192, 'java.security': 0, 'java.nio': 0, 'java.lang': 214, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 2}
928211 shicks {'Error Prone': 45.70106679554897, 'Design': 5.0830630583489125, 'Performance': 125.26964028230809, 'Security': 182.66062568876717, 'Code Style': 2.9049129625134227, 'Best Practices': 15.27064902616973, 'Multithreading': 182.66062568876717, 'Documentation': 21.649761099691023} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 15, 'java.security': 0, 'java.nio': 0, 'java.lang': 105, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
124531 zjffdu {'Error Prone': 37.27627148931686, 'Design': 6.202116948089383, 'Performance': 118.55587010646778, 'Security': 163.99053310978454, 'Code Style': 5.435408110028657, 'Best Practices': 63.64798733666559, 'Multithreading': 100.12823685354552, 'Documentation': 11.34286378259082} {'java.sql': 0, 'java.text': 2, 'java.net': 28, 'java.math': 0, 'java.rmi': 0, 'java.util': 2029, 'java.security': 0, 'java.nio': 37, 'java.lang': 3198, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 142}
1776300 ManuelPeinado {'Error Prone': 49.62770402054068, 'Design': 42.64060702767451, 'Performance': 79.8565076717525, 'Security': 79.8565076717525, 'Code Style': 16.555190998700425, 'Best Practices': 62.101027925656666, 'Multithreading': 79.8565076717525, 'Documentation': 29.355514967754797} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 9, 'java.security': 0, 'java.nio': 0, 'java.lang': 63, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 4}
2019263 Kevinrob {'Error Prone': 3.0941670040359623, 'Design': 2.4397541015211552, 'Performance': 16.268746480824248, 'Security': 16.268746480824248, 'Code Style': 0.41292228785611385, 'Best Practices': 5.721559447373723, 'Multithreading': 16.268746480824248, 'Documentation': 2.7611481242087117} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 2, 'java.security': 0, 'java.nio': 0, 'java.lang': 17, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
266118 shekhargulati {'Error Prone': 13.105152171438542, 'Design': 11.676969752484853, 'Performance': 13.105152171438542, 'Security': 13.105152171438542, 'Code Style': 10.832030684086643, 'Best Practices': 12.298026155325411, 'Multithreading': 13.105152171438542, 'Documentation': 11.787971141887413} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 61, 'java.security': 0, 'java.nio': 0, 'java.lang': 48, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 9}
1191 olamy {'Error Prone': 39.90415520018522, 'Design': 9.730547546993451, 'Performance': 89.61853530710569, 'Security': 167.46387637339777, 'Code Style': 6.330787094604464, 'Best Practices': 37.28099041309933, 'Multithreading': 164.7489365504455, 'Documentation': 17.7019938923041} {'java.sql': 0, 'java.text': 5, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 79, 'java.security': 0, 'java.nio': 0, 'java.lang': 471, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 15}
54580 krummas {'Error Prone': 149.42826082484913, 'Design': 79.7153605456155, 'Performance': 140.34820675801026, 'Security': 183.92136612169338, 'Code Style': 13.579131839262404, 'Best Practices': 66.08760942387808, 'Multithreading': 121.10290150630651, 'Documentation': 17.237473956115146} {'java.sql': 0, 'java.text': 0, 'java.net': 13, 'java.math': 0, 'java.rmi': 0, 'java.util': 107, 'java.security': 0, 'java.nio': 49, 'java.lang': 43, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 35}
