420391 rkistner {'Multithreading': 67.58201731310507, 'Error Prone': 24.31002770925544, 'Design': 20.49417412992073, 'Performance': 68.00590224067608, 'Best Practices': 54.21167179774706, 'Code Style': 6.6367973419569735, 'Security': 71.52146676559383, 'Documentation': 7.403984055107904} {'java.lang': 71, 'java.nio': 0, 'java.io': 6, 'java.util': 33, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
153702 jackpal {'Multithreading': 153.8449351803101, 'Error Prone': 22.0064763163567, 'Design': 113.47360593266447, 'Performance': 80.0068381022528, 'Best Practices': 110.38451405377354, 'Code Style': 19.069003024396117, 'Security': 153.8449351803101, 'Documentation': 10.199912943994462} {'java.lang': 198, 'java.nio': 0, 'java.io': 4, 'java.util': 16, 'others': 0, 'java.awt': 0, 'java.text': 4, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
50401 khotyn {'Multithreading': 141.6711749048985, 'Error Prone': 103.74055474898232, 'Design': 28.214651758947557, 'Performance': 161.8600437959761, 'Best Practices': 161.9582002809949, 'Code Style': 22.776169561745377, 'Security': 163.8460566032887, 'Documentation': 45.20718396978985} {'java.lang': 61, 'java.nio': 0, 'java.io': 0, 'java.util': 49, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
113355 tbruyelle {'Multithreading': 79.92490090605988, 'Error Prone': 62.5915114578967, 'Design': 22.539910764318428, 'Performance': 79.92490090605988, 'Best Practices': 48.76330214408143, 'Code Style': 11.995755547848686, 'Security': 79.92490090605988, 'Documentation': 22.42656966847909} {'java.lang': 12, 'java.nio': 0, 'java.io': 0, 'java.util': 12, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
207619 tehmou {'Multithreading': 166.43936001772664, 'Error Prone': 97.64666199017135, 'Design': 45.24478585115604, 'Performance': 166.43936001772664, 'Best Practices': 107.29540948871123, 'Code Style': 30.981452019998596, 'Security': 166.43936001772664, 'Documentation': 26.972599075873724} {'java.lang': 0, 'java.nio': 0, 'java.io': 0, 'java.util': 0, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
684710 nik9000 {'Multithreading': 193.39135952981567, 'Error Prone': 58.536812141566955, 'Design': 8.083587696393343, 'Performance': 155.31812740317056, 'Best Practices': 26.501956199700206, 'Code Style': 9.987218206279987, 'Security': 227.63341080560966, 'Documentation': 20.58634401726803} {'java.lang': 13, 'java.nio': 0, 'java.io': 0, 'java.util': 55, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
62194 jgilfelt {'Multithreading': 142.23845078806298, 'Error Prone': 74.6152392822885, 'Design': 19.24131025333535, 'Performance': 142.23845078806298, 'Best Practices': 142.23845078806298, 'Code Style': 7.259820082642789, 'Security': 142.23845078806298, 'Documentation': 57.42762876534816} {'java.lang': 126, 'java.nio': 3, 'java.io': 24, 'java.util': 30, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
9295 stephenmcd {'Multithreading': 81.95766168114793, 'Error Prone': 22.839064296303345, 'Design': 13.345630914355466, 'Performance': 78.83466802191934, 'Best Practices': 18.47453429823159, 'Code Style': 4.935079174236193, 'Security': 81.95766168114793, 'Documentation': 9.625840467505885} {'java.lang': 221, 'java.nio': 0, 'java.io': 2, 'java.util': 193, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 8}
928211 shicks {'Multithreading': 182.66062568876717, 'Error Prone': 45.67858155797375, 'Design': 5.081096924215104, 'Performance': 125.23206535694679, 'Best Practices': 15.252900267448595, 'Code Style': 2.9044997310471525, 'Security': 182.66062568876717, 'Documentation': 21.6382682207959} {'java.lang': 106, 'java.nio': 0, 'java.io': 0, 'java.util': 27, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
124531 zjffdu {'Multithreading': 100.7210383651148, 'Error Prone': 37.45624124540684, 'Design': 6.200699211852647, 'Performance': 119.32702990813918, 'Best Practices': 63.996171237271554, 'Code Style': 5.446661366850482, 'Security': 165.35320297248109, 'Documentation': 11.386358059424925} {'java.lang': 875, 'java.nio': 12, 'java.io': 105, 'java.util': 624, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 16}
